MainID,Country ID2,Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body],Country of Residence,Profession
480,506,"FISH, Mr B.",38,Victualling CrewFailed to Join Ship,,Southampton,First Class Steward,,England,First Class Steward
481,507,"FISHER, Mr R.",24,Victualling CrewFailed to Join Ship,,Southampton,Second Class Plate Steward,,England,Second Class Plate Steward
483,872,"MEWE, Mr W. J.",35,Victualling CrewFailed to Join Ship,,Southampton,Sauce Cook,,England,Sauce Cook
484,1472,"ANDREWS, Mr Thomas",39,1st Class PassengerH&W Guarantee Group,112050,Belfast,Shipbuilder,,Ireland,Shipbuilder
485,1483,"CAMPBELL, Mr William",20,2nd Class PassengerH&W Guarantee Group,239853,Belfast,Carpenter / Joiner,,Ireland,Carpenter / Joiner
486,1488,"CHISHOLM, Mr Roderick",43,1st Class PassengerH&W Guarantee Group,112051,Belfast,Draughtsman,,Ireland,Draughtsman
487,1497,"CUNNINGHAM, Mr Alfred Fleming",21,2nd Class PassengerH&W Guarantee Group,239853,Belfast,Fitter,,Ireland,Fitter
488,1516,"FROST, Mr Anthony Wood",38,2nd Class PassengerH&W Guarantee Group,239854,Belfast,Fitter,,Ireland,Fitter
489,1538,"KNIGHT, Mr Robert",42,2nd Class PassengerH&W Guarantee Group,239855,Belfast,Fitter,,Ireland,Fitter
490,1588,"PARKES, Mr Francis",21,2nd Class PassengerH&W Guarantee Group,239853,Belfast,Plumber,,Ireland,Plumber
491,1589,"PARR, Mr William Henry Marsh",29,1st Class PassengerH&W Guarantee Group,112052,Belfast,Electrician,,Ireland,Electrician
492,1608,"THOMPSON, Mr Joseph",34,1st Class PassengerH&W Guarantee Group,,Belfast,Painter & Decorator,,Ireland,Painter & Decorator
493,1610,"WATSON, Mr Ennis Hastings",18,2nd Class PassengerH&W Guarantee Group,239856,Belfast,Apprentice Electrician,,Ireland,Apprentice Electrician
494,755,"KILFORD, Mr P.",29,Victualling CrewLeft Ship Sick,,Southampton,First Class Steward,,England,First Class Steward
495,298,"BURROWS, Mr W.",29,Engineering CrewLeft with Consent,,Southampton,Fireman,,England,Fireman
496,1134,"SIMS, Mr W.",30,Engineering CrewLeft with Consent,,Southampton,Fireman,,England,Fireman
497,265,"BRAILEY, Mr William Theodore Ronald",24,2nd Class PassengerMusician,250654,Southampton,Musician,,England,Musician
498,1410,"BRICOUX, Mr Roger Marie",20,2nd Class PassengerMusician,250654,Southampton,Musician,,France,Musician
499,353,"CLARKE, Mr John Frederick Preston",28,2nd Class PassengerMusician,250654,Southampton,Musician,[202],England,Musician
500,622,"HARTLEY, Mr Wallace Henry",33,2nd Class PassengerMusician,250654,Southampton,Musician,[224],England,Musician
502,768,"KRINS, Mr Georges Alexandre",23,2nd Class PassengerMusician,250654,Southampton,Musician,,England,Musician
503,1201,"TAYLOR, Mr Percy Cornelius",40,2nd Class PassengerMusician,250654,Southampton,Musician,,England,Musician
504,1337,"WOODWARD, Mr John Wesley",32,2nd Class PassengerMusician,250654,Southampton,Musician,,England,Musician
505,1951,"GWINN, Mr William Logan",37,Victualling CrewPostal Clerk,,Southampton,Postal Clerk / Postman,,United States,Postal Clerk / Postman
506,820,"MARCH, Mr John Starr",50,Victualling CrewPostal Clerk,,Southampton,Postal Clerk / Postman,[225],England,Postal Clerk / Postman
508,1612,"WILLIAMSON, Mr James Bertram",35,Victualling CrewPostal Clerk,,Southampton,Postal Clerk / Postman,,Ireland,Postal Clerk / Postman
509,2112,"WOODY, Mr Oscar Scott",41,Victualling CrewPostal Clerk,,Southampton,Postal Clerk / Postman,[167],United States,Postal Clerk / Postman
510,1853,"ALDWORTH, Mr Augustus Henry",35,2nd Class PassengerServant,248744£13,Southampton,Chauffeur,,United States,Chauffeur
516,1875,"BOWEN, Miss Grace Scott",45,1st Class PassengerServant,17608£262 7s 6d,Cherbourg,Governess,4,United States,Governess
517,282,"BROWN, Miss Amelia Mary",18,2nd Class PassengerServant,248733£13,Southampton,Cook (Personal),11,England,Cook (Personal)
521,354,"CLEAVER, Miss Alice Catherine",22,1st Class PassengerServant,113781£151 16s,Southampton,Nursemaid,11,England,Nursemaid
522,64,"DANIELS, Miss Sarah Rebecca",36,1st Class PassengerServant,113781£151 16s,Southampton,Personal Maid,8*†,Canada,Personal Maid
526,527,"FRANCATELLI, Miss Laura Mabel",31,1st Class PassengerServant,17485£56 18s 7d,Cherbourg,Secretary,1,England,Secretary
527,534,"FRY, Mr Richard Thomas",39,1st Class PassengerServant,112058,Southampton,Personal Valet,,England,Personal Valet
531,615,"HARRISON, Mr William Henry",45,1st Class PassengerServant,112059,Southampton,Secretary,[110],England,Secretary
532,139,"HASSAB, Mr Hammad",27,1st Class PassengerServant,17572£76 14s 7d,Cherbourg,Servant,3,Egypt,Servant
539,816,"MAIONI, Miss Roberta Elizabeth Mary",20,1st Class PassengerServant,110152£86 10s,Southampton,Personal Maid,8,England,Personal Maid
540,1644,"OLIVA Y OCANA, DoÒa Fermina",39,1st Class PassengerServant,17758£108 18s,Cherbourg,Personal Maid,8,Spain,Personal Maid
541,83,"PAYNE, Mr Vivian Ponsonby",23,1st Class PassengerServant,12749£93 10s,Southampton,Clerk,,Canada,Clerk
542,1429,"PERNOT, Mr RenÈ",39,2nd Class PassengerServant,2131£15 1s,Cherbourg,Chauffeur,,France,Chauffeur
543,84,"PERREAULT, Miss Mary Anne",33,1st Class PassengerServant,12749£93 10s,Southampton,Personal Maid,3*†,Canada,Personal Maid
544,1471,"RIGHINI, Mr Sante",28,1st Class PassengerServant,17760£135 12s 8d,Cherbourg,Servant,[232],Italy,Servant
547,2059,"SHUTES, Miss Elizabeth Weed",40,1st Class PassengerServant,17582£153 9s 3d,Southampton,Governess,3*†,United States,Governess
548,1195,"SWANE, Mr George",19,2nd Class PassengerServant,248734£13,Southampton,Chauffeur,[294],England,Chauffeur
551,1300,"WHEELER, Mr Edwin Charles",26,2nd Class PassengerServant,2159£12 17s 6d,Southampton,Servant,,England,Servant
553,235,"BLACK, Mr D.",41,Engineering CrewSubstitute Crew,,Southampton,Fireman,,England,Fireman
554,284,"BROWN, Mr Joseph",30,Engineering CrewSubstitute Crew,,Southampton,Fireman,,England,Fireman
555,381,"COTTON, Mr Alfred",35,Engineering CrewSubstitute Crew,,Southampton,Trimmer,,England,Trimmer
556,447,"DICKSON, Mr William",37,Engineering CrewSubstitute Crew,,Southampton,Trimmer,,England,Trimmer
557,452,"DODDS, Mr Henry Watson",26,Engineering CrewSubstitute Crew,,Southampton,Junior Assistant 4th Engineer,,England,Junior Assistant 4th Engineer
558,546,"GEER, Mr Alfred Emest",26,Engineering CrewSubstitute Crew,,Southampton,Fireman,,England,Fireman
559,573,"GORDON, Mr John",30,Engineering CrewSubstitute Crew,,Southampton,Trimmer,,England,Trimmer
560,677,"HOSGOOD, Mr Richard William",22,Engineering CrewSubstitute Crew,,Southampton,Fireman,[242],England,Fireman
561,760,"KINSELLA, Mr Louis",30,Engineering CrewSubstitute Crew,,Southampton,Fireman,,England,Fireman
562,794,"LLOYD, Mr William",29,Engineering CrewSubstitute Crew,,Southampton,Fireman,,England,Fireman
563,798,"LOCKE, Mr Albert George",33,Victualling CrewSubstitute Crew,,Southampton,Scullion,,England,Scullion
564,925,"O'CONNOR, Mr John",29,Engineering CrewSubstitute Crew,,Southampton,Trimmer,B*†,England,Trimmer
566,1326,"WINDEBANK, Mr Alfred Edgar",38,Victualling CrewSubstitute Crew,,Southampton,Cook,,England,Cook
567,1330,"WITT, Mr Henry Dennis",37,Engineering CrewSubstitute Crew,,Southampton,Fireman,,England,Fireman
568,259,"BOXHALL, Mr Joseph Groves",28,Deck CrewTitanic Officers,,Belfast,4th. Officer,2,England,4th. Officer
570,790,"LIGHTOLLER, Mr Charles Herbert",38,Deck CrewTitanic Officers,,Belfast,2nd. Officer,B†,England,2nd. Officer
571,2120,"LOWE, Mr Harold Godfrey",29,Deck CrewTitanic Officers,,Belfast,5th. Officer,14,Wales,5th. Officer
572,885,"MOODY, Mr James Paul",24,Deck CrewTitanic Officers,,Belfast,6th. Officer,,England,6th. Officer
573,903,"MURDOCH, Mr William McMaster",39,Deck CrewTitanic Officers,,Belfast,1st. Officer,,England,1st. Officer
574,992,"PITMAN, Mr Herbert John",34,Deck CrewTitanic Officers,,Belfast,3rd. Officer,5,England,3rd. Officer
575,1159,"SMITH, Captain Edward John",62,Deck CrewTitanic Officers,,Southampton,Master,,England,Master
576,1313,"WILDE, Mr Henry Tingle",39,Deck CrewTitanic Officers,,Southampton,Chief Officer,,England,Chief Officer
578,626,"HAVELING, Mr A.",26,Engineering CrewTransferred,,Southampton,Junior Assistant 4th Engineer,,England,Junior Assistant 4th Engineer
579,1847,"ABBING, Mr Anthony",41,3rd Class Passenger,5547£7 11s,Southampton,Blacksmith,,United States,Blacksmith
580,140,"ABBOTT, Mr Ernest Owen",21,Victualling Crew,,Southampton,Lounge Pantry Steward,,England,Lounge Pantry Steward
581,1850,"ABBOTT, Mr Eugene Joseph",13,3rd Class Passenger,CA2673£20 5s,Southampton,Scholar,,United States,Scholar
582,1848,"ABBOTT, Mrs Rhoda Mary 'Rosa'",39,3rd Class Passenger,CA2673£20 5s,Southampton,,A†,United States,0
583,1849,"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673£20 5s,Southampton,Jeweller,[190],United States,Jeweller
584,1439,"ABELSETH, Miss Kalle (Karen) Marie Kristiane",16,3rd Class Passenger,348125£7 13s,Southampton,,16*†,Norway,0
585,1851,"ABELSETH, Mr Olaus J¯rgensen",25,3rd Class Passenger,348122£7 13s,Southampton,Farmer,A†,United States,Farmer
586,1408,"ABELSON, Mrs Anna",28,2nd Class Passenger,3381£24,Cherbourg,,,France,0
587,1407,"ABELSON, Mr Samuel",30,2nd Class Passenger,3381£24,Cherbourg,,,France,0
588,1351,"ABRAHAMSSON, Mr August Abraham Johannes",19,3rd Class Passenger,3101284£7 18s 6d,Southampton,,15,Finland,0
589,141,"ABRAMS, Mr William Thomas",34,Engineering Crew,,Southampton,Fireman,,England,Fireman
590,1776,"AB? SA'B, Mr Jirjis Y?suf",45,3rd Class Passenger,2685£7 4s 6d,Cherbourg,Shoemaker,[312],Syria,Shoemaker
591,1852,"AB? SA'B, Mrs Sha'n?nah",38,3rd Class Passenger,2688£7 4s 7d,Cherbourg,,,United States,0
593,1467,"AB?-AL-MUN¿, Mr N?s?f Q?sim",27,3rd Class Passenger,2699£18 15s 9d,Cherbourg,,,Lebanon,0
594,143,"ADAMS, Mr John",26,3rd Class Passenger,341826£8 1s,Southampton,,[103],England,0
595,142,"ADAMS, Mr Robert John",26,Engineering Crew,,Southampton,Fireman,,England,Fireman
597,144,"AHIER, Mr Percy Snowden",20,Victualling Crew,,Southampton,Saloon Steward,,England,Saloon Steward
598,1651,"AHLIN, Mrs Johanna Persdotter",40,3rd Class Passenger,7546£9 9s 6d,Southampton,,,Sweden,0
599,1,"AHMED, Mr Ali",24,3rd Class Passenger,3101311£7 1s,Southampton,General Labourer,,Argentina,General Labourer
600,145,"AKERMAN, Mr Albert Edward",31,Victualling Crew,,Southampton,3rd Class Steward,,England,3rd Class Steward
601,146,"AKERMAN, Mr Joseph Francis",37,Victualling Crew,,Southampton,Assistant Pantryman Steward,[205],England,Assistant Pantryman Steward
602,147,"AKS, Mrs Leah",21,3rd Class Passenger,392091£9 7s,Southampton,,,England,0
603,148,"AKS, Master Philip",10m,3rd Class Passenger,392091£9 7s,Southampton,,,England,0
604,1780,"AL-BA'QL?N?, Miss Hil?nah",2,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,,Syria,0
605,1777,"AL-BA'QL?N?, Mrs La??fah",23,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,,Syria,0
606,1778,"AL-BA'QL?N?, Miss M?r?y?",5,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,,Syria,0
607,1779,"AL-BA'QL?N?, Miss ?wj?n?y?",3,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,,Syria,0
609,1781,"AL-ZA'INN?, Mr Fah?m R???n?",25,3rd Class Passenger,2620£7 4s 6d,Cherbourg,General Labourer,6*†,Syria,General Labourer
610,149,"ALEXANDER, Mr William Albert",24,3rd Class Passenger,3474£7 17s 9d,Southampton,General Labourer,,England,General Labourer
611,1353,"ALHOMƒKI, Mr Ilmari Rudolf",19,3rd Class Passenger,3101287£7 18s 6d,Southampton,General Labourer,,Finland,General Labourer
612,2,"ALI, Mr William",25,3rd Class Passenger,3101312£7 1s,Southampton,General Labourer,[79],Argentina,General Labourer
613,150,"ALLARIA, Sig. Battista Antonio",22,Restaurant Staff,,Southampton,Assistant Waiter,[221],England,Assistant Waiter
614,1854,"ALLEN, Miss Elisabeth Walton",29,1st Class Passenger,24160£211 6s 9d,Southampton,,2,United States,0
615,152,"ALLEN, Mr Ernest Frederick",24,Engineering Crew,,Southampton,Trimmer,,England,Trimmer
616,154,"ALLEN, Mr George",26,Victualling Crew,,Southampton,Scullion,,England,Scullion
617,151,"ALLEN, Mr Henry",30,Engineering Crew,,Southampton,Fireman,[145],England,Fireman
618,155,"ALLEN, Mr Robert Spencer",35,Victualling Crew,,Southampton,Bedroom Steward (1st Class),,England,Bedroom Steward (1st Class)
619,153,"ALLEN, Mr William Henry",39,3rd Class Passenger,373450£8 1s,Southampton,Tool Maker,,England,Tool Maker
620,55,"ALLISON, Mrs Bess Waldo",25,1st Class Passenger,113781£151 16s,Southampton,,,Canada,0
621,56,"ALLISON, Miss Helen Loraine",2,1st Class Passenger,113781£151 16s,Southampton,,,Canada,0
622,54,"ALLISON, Mr Hudson Joshua Creighton",30,1st Class Passenger,113781£151 16s,Southampton,Businessman,[135],Canada,Businessman
623,57,"ALLISON, Master Hudson Trevor",11m,1st Class Passenger,113781£151 16s,Southampton,,11,Canada,0
624,156,"ALLSOP, Mr Alfred Samuel",36,Engineering Crew,,Belfast,2nd Electrician,,England,2nd Electrician
625,157,"ALLSOP, Mr Frank Richard",43,Victualling Crew,,Belfast,Saloon Steward,,England,Saloon Steward
626,158,"ALLUM, Mr Owen George",17,3rd Class Passenger,2223£8 6s,Southampton,Gardener,[259],England,Gardener
627,133,"ANDERSEN (JENSEN), Miss Carla Christine Nielsine",19,3rd Class Passenger,350046£7 17s 1d,Southampton,,16,Denmark,0
628,1440,"ANDERSEN, Mr Albert Kaurin",33,3rd Class Passenger,4001£22 10s 6d,Southampton,Engineer,[260],Norway,Engineer
629,1855,"ANDERSON, Mr Harry",42,1st Class Passenger,19952£26 11s,Southampton,Stockbroker,3*†,United States,Stockbroker
630,159,"ANDERSON, Mr John",42,Deck Crew,,Southampton,Able Seaman,,England,Able Seaman
631,160,"ANDERSON, Mr Walter Yuill",50,Victualling Crew,,Southampton,Bed Room Steward,[146],England,Bed Room Steward
632,1655,"ANDERSSON, Mrs Alfrida Konstantia Brogren",39,3rd Class Passenger,347082£31 5s 6d,Southampton,,,Sweden,0
633,1654,"ANDERSSON, Mr Anders Johan",39,3rd Class Passenger,347082£31 5s 6d,Southampton,General Labourer,,Sweden,General Labourer
634,1658,"ANDERSSON, Miss Ebba Iris Alfrida",6,3rd Class Passenger,347082£31 5s 6d,Southampton,,,Sweden,0
635,1660,"ANDERSSON, Miss Ellis Anna Maria",2,3rd Class Passenger,347082£31 5s 6d,Southampton,,,Sweden,0
636,1354,"ANDERSSON, Miss Erna Alexandra",16,3rd Class Passenger,3101281£7 18s 6d,Southampton,,,Finland,0
637,1653,"ANDERSSON, Miss Ida Augusta Margareta",38,3rd Class Passenger,347091£7 15s 6d,Southampton,,,Sweden,0
638,1657,"ANDERSSON, Miss Ingeborg Constanzia",9,3rd Class Passenger,347082£31 5s 6d,Southampton,,,Sweden,0
639,1652,"ANDERSSON, Mr Johan Samuel",26,3rd Class Passenger,347075£7 15s 6d,Southampton,Carpenter / Joiner,,Sweden,Carpenter / Joiner
640,1656,"ANDERSSON, Miss Sigrid Elisabeth",11,3rd Class Passenger,347082£31 5s 6d,Southampton,,,Sweden,0
641,1659,"ANDERSSON, Master Sigvard Harald Elias",4,3rd Class Passenger,347082£31 5s 6d,Southampton,,,Sweden,0
642,1661,"ANDREASSON, Mr PÂl Edvin",20,3rd Class Passenger,347466£7 17s 1d,Southampton,General Labourer,,Sweden,General Labourer
643,3,"ANDREW, Mr Edgar Samuel",17,2nd Class Passenger,231945£11 10s,Southampton,,,Argentina,0
644,161,"ANDREW, Mr Frank Thomas",26,2nd Class Passenger,34050£10 10s,Southampton,Miner,,England,Miner
646,162,"ANDREWS, Mr Charles Edward",19,Victualling Crew,,Southampton,Saloon Steward (2nd class),16,England,Saloon Steward (2nd class)
647,1856,"ANDREWS, Miss Cornelia Theodosia",62,1st Class Passenger,13502£77 19s 2d,Cherbourg,,10,United States,0
648,164,"ANGLE, Mrs Florence Agnes",36,2nd Class Passenger,226875£26,Southampton,,11*†,England,0
649,163,"ANGLE, Mr William",31,2nd Class Passenger,226875£26,Southampton,Tile Maker,,England,Tile Maker
650,1857,"APPLETON, Mrs Charlotte",53,1st Class Passenger,11769£51 9s 7d,Southampton,,2,United States,0
651,165,"ARCHER, Mr Ernest Edward",35,Deck Crew,,Southampton,Able Seaman,16,England,Able Seaman
653,1759,"ARNOLD-FRANCHI, Mr Josef",25,3rd Class Passenger,349237£17 16s,Southampton,General Labourer,,Switzerland,General Labourer
654,1760,"ARNOLD-FRANCHI, Mrs Josefine",18,3rd Class Passenger,349237£17 16s,Southampton,,,Switzerland,0
655,1662,"ARONSSON, Mr Ernst Axel Algot",25,3rd Class Passenger,349911£7 15s 6d,Southampton,General Labourer,,Sweden,General Labourer
656,4,"ARTAGAVEYTIA, Mr Ramon",71,1st Class Passenger,17609£49 10s 1d,Cherbourg,Businessman,[22],Argentina,Businessman
657,1858,"ASHBY, Mr John",57,2nd Class Passenger,244346£13,Southampton,,,United States,0
658,166,"ASHCROFT, Mr Austin Aloysius",26,Victualling Crew,,Southampton,Clerk,,England,Clerk
659,167,"ASHE, Mr Henry Wellesley",41,Victualling Crew,,Southampton,Glory hole steward (3rd class),[34],England,Glory hole steward (3rd class)
660,5,"ASIM, Mr Adola",35,3rd Class Passenger,3101310£7 1s,Southampton,General Labourer,,Argentina,General Labourer
661,168,"ASPESLAGH, Mr Georges",26,Restaurant Staff,,Southampton,Assistant Plateman,,England,Assistant Plateman
662,1667,"ASPLUND, Master Carl Edgar",5,3rd Class Passenger,347077£31 7s 9d,Southampton,,,Sweden,0
663,1665,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",40,3rd Class Passenger,347077£31 7s 9d,Southampton,General Labourer,[142],Sweden,General Labourer
664,1669,"ASPLUND, Master Clarence Gustaf Hugo",9,3rd Class Passenger,347077£31 7s 9d,Southampton,,,Sweden,0
665,1663,"ASPLUND, Master Edvin Rojj Felix",3,3rd Class Passenger,347077£31 7s 9d,Southampton,,10*†,Sweden,0
666,1668,"ASPLUND, Master Filip Oscar",13,3rd Class Passenger,347077£31 7s 9d,Southampton,,,Sweden,0
667,1664,"ASPLUND, Mr Johan Charles",23,3rd Class Passenger,350054£7 15s 11d,Southampton,,13*†,Sweden,0
668,1670,"ASPLUND, Miss Lillian Gertrud",5,3rd Class Passenger,347077£31 7s 9d,Southampton,,10*†,Sweden,0
669,1666,"ASPLUND, Mrs Selma Augusta Emilia",38,3rd Class Passenger,347077£31 7s 9d,Southampton,,10*†,Sweden,0
670,6,"ASSAM, Mr Ali",23,3rd Class Passenger,3101309£7 1s,Southampton,General Labourer,,Argentina,General Labourer
671,1859,"ASTOR, Colonel John Jacob",47,1st Class Passenger,17757£247 10s 6d,Cherbourg,Property Developer / Real Estate,[124],United States,Property Developer / Real Estate
672,1860,"ASTOR, Mrs Madeleine Talmage",18,1st Class Passenger,17757£247 10s 6d,Cherbourg,,4,United States,0
673,58,"ATTALA, Mr Sleiman Khalil",27,3rd Class Passenger,2694£7 4s 6d,Cherbourg,Journalist,,Canada,Journalist
674,1782,"AT? ALL?H, Miss Malakah",18,3rd Class Passenger,2627£14 9s 2d,Cherbourg,,,Syria,0
675,1409,"AUBART, Mme. LÈontine Pauline",24,1st Class Passenger,17477£69 6s,Cherbourg,Singer,9,France,Singer
676,1671,"AUGUSTSSON, Mr Albert",23,3rd Class Passenger,347468£7 17s 1d,Southampton,General Labourer,,Sweden,General Labourer
678,169,"AVERY, Mr James Albert",20,Engineering Crew,,Southampton,Trimmer,15,England,Trimmer
679,170,"AYLING, Mr Edwin George",23,Victualling Crew,,Southampton,Assistant Vegetable Cook,,England,Assistant Vegetable Cook
680,1783,"AYY?B-D?HIR, Miss Bann?rah",15,3rd Class Passenger,2687£7 4s 7d,Cherbourg,,,Syria,0
681,171,"BACK, Mr Charles Frederick",37,Victualling Crew,,Belfast,Assistant Lounge Steward,,England,Assistant Lounge Steward
682,1355,"BACKSTR÷M, Mr Karl Alfred",32,3rd Class Passenger,3101278£15 17s,Southampton,General Labourer,,Finland,General Labourer
683,1356,"BACKSTR÷M, Mrs Maria Mathilda",33,3rd Class Passenger,3101278£15 17s,Southampton,,,Finland,0
684,172,"BADMAN, Miss Emily Louisa",18,3rd Class Passenger,31416£8 1s,Southampton,Servant,C*†,England,Servant
685,1784,"BADT, Mr Mohamed",40,3rd Class Passenger,2623£7 4s 6d,Cherbourg,Farmer,,Syria,Farmer
686,173,"BAGGOTT, Mr Allen Marden",28,Victualling Crew,,Southampton,Saloon Steward,9,England,Saloon Steward
687,174,"BAGLEY, Mr Edward Henry",33,Victualling Crew,,Southampton,Saloon Steward,,England,Saloon Steward
688,178,"BAILEY, Mr George",44,Victualling Crew,,Belfast,Saloon Steward,[161],England,Saloon Steward
689,177,"BAILEY, Mr George Frank",46,Engineering Crew,,Southampton,Fireman,,England,Fireman
690,175,"BAILEY, Mr Henry Joseph",46,Deck Crew,,Southampton,Master-at-arms,16,England,Master-at-arms
691,176,"BAILEY, Mr Percy",18,2nd Class Passenger,29108£11 10s,Southampton,Butcher's Assistant,,England,Butcher's Assistant
694,89,"BAINBRIGGE, Mr Charles Robert",22,2nd Class Passenger,31030£10 10s,Southampton,Horse Trainer,,Channel Islands,Horse Trainer
695,179,"BAINES, Mr Richard",58,Engineering Crew,,Southampton,Greaser,,England,Greaser
697,31,"BALIKI?, Mr ?erim",26,3rd Class Passenger,349248£7 17s 11d,Southampton,General Labourer,,Bosnia [Austria-Hungary],General Labourer
698,180,"BALL, Mr Percy",18,Victualling Crew,,Southampton,Plate Steward,13*†,England,Plate Steward
699,181,"BALLS, Mrs Ada Elizabeth",36,2nd Class Passenger,28551£13,Southampton,,10*†,England,0
701,182,"BANFI, Ugo",24,Restaurant Staff,,Southampton,Waiter,,England,Waiter
702,183,"BANFIELD, Mr Frederick James",28,2nd Class Passenger,34068£10 10s,Southampton,Miner,,England,Miner
703,184,"BANNON, Mr John Joseph",34,Engineering Crew,,Southampton,Greaser,,England,Greaser
704,1785,"BARBARA, Mrs Catherine David",45,3rd Class Passenger,2691£14 9s 1d,Cherbourg,Housekeeper,,Syria,Housekeeper
705,1786,"BARBARA, Miss Saiide",18,3rd Class Passenger,2691£14 9s 1d,Cherbourg,Housekeeper,,Syria,Housekeeper
706,185,"BARKER, Mr Albert Vale",19,Victualling Crew,,Southampton,Baker,,England,Baker
707,186,"BARKER, Mr Ernest Thomas",40,Victualling Crew,,Southampton,Saloon Steward (1st class),[159],England,Saloon Steward (1st class)
710,187,"BARKER, Mr Reginald Lomond",42,Victualling Crew,,Belfast,"Second Purser, 1st Class",,England,"Second Purser, 1st Class"
713,188,"BARKWORTH, Mr Algernon Henry",47,1st Class Passenger,27042£30,Southampton,Justice of the Peace,B†,England,Justice of the Peace
714,189,"BARLOW, Mr Charles Henry",30,Engineering Crew,,Southampton,Fireman,,England,Fireman
715,190,"BARLOW, Mr George",39,Victualling Crew,,Southampton,Bed Room Steward,,England,Bed Room Steward
716,191,"BARNES, Mr Charles",29,Engineering Crew,,Southampton,Fireman,,England,Fireman
717,193,"BARNES, Mr Frederick Charles",40,Victualling Crew,,Southampton,Assistant baker,[26],England,Assistant baker
718,192,"BARNES, Mr John",39,Engineering Crew,,Southampton,Fireman,,England,Fireman
720,194,"BARRATT, Mr Arthur",16,Victualling Crew,,Southampton,Bell Boy,,England,Bell Boy
721,196,"BARRETT, Mr Frederick William",33,Engineering Crew,,Southampton,Fireman,,England,Leading Fireman
722,195,"BARRETT, Mr Frederick William",29,Engineering Crew,,Southampton,Leading Fireman,13,England,Leading Fireman
723,197,"BARRINGER, Mr Arthur William",34,Victualling Crew,,Belfast,Saloon Steward (1st class),,England,Saloon Steward (1st class)
724,198,"BARROW, Mr Charles Henry John",35,Victualling Crew,,Southampton,Assistant butcher,,England,Assistant butcher
725,199,"BARROWS, Mr Edward William Peter",32,Victualling Crew,,Southampton,Saloon Steward,,England,Saloon Steward
727,1473,"BARRY, Miss Julia",30,3rd Class Passenger,330844£7 17s 7d,Queenstown,Housekeeper,,Ireland,Housekeeper
730,200,"BARTON, Mr David John",22,3rd Class Passenger,324669£8 1s,Southampton,General Labourer,,England,General Labourer
731,201,"BARTON, Mr Sidney John",26,Victualling Crew,,Southampton,3rd Class Steward,,England,3rd Class Steward
732,202,"BASILICO, Sig. Giovanni",27,Restaurant Staff,,Southampton,Waiter,,England,Waiter
733,1861,"BATEMAN, Revd Robert James",52,2nd Class Passenger,1166£12 10s 6d,Southampton,Priest / Minister,[174],United States,Priest / Minister
734,35,"BATOSHEV, Mr Hristo Lalev",23,3rd Class Passenger,349217£7 17s 11d,Southampton,General Labourer,,Bulgaria,General Labourer
735,1862,"BAUMANN, Mr John David",48,1st Class Passenger,17318£25 18s 6d,Cherbourg,Businessman,,United States,Businessman
