Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"ASPLUND, Master Carl Edgar",5,3rd Class Passenger,347077£31 7s 9d,Southampton,,
"ASPLUND, Master Filip Oscar",13,3rd Class Passenger,347077£31 7s 9d,Southampton,,
"ASPLUND, Master Clarence Gustaf Hugo",9,3rd Class Passenger,347077£31 7s 9d,Southampton,,
"ASPLUND, Miss Lillian Gertrud",5,3rd Class Passenger,347077£31 7s 9d,Southampton,,10* 
"ASSAM, Mr Ali",23,3rd Class Passenger,3101309£7 1s,Southampton,General Labourer,
"ASTOR, Colonel John Jacob",47,1st Class Passenger,17757£247 10s 6d,Cherbourg,Property Developer / Real Estate,[124]
"ASTOR, Mrs Madeleine Talmage",18,1st Class Passenger,17757£247 10s 6d,Cherbourg,,4
"AT? ALL?H, Miss Malakah",18,3rd Class Passenger,2627£14 9s 2d,Cherbourg,,
"ATTALA, Mr Sleiman Khalil",27,3rd Class Passenger,2694£7 4s 6d,Cherbourg,Journalist,
"AUBART, Mme. Léontine Pauline",24,1st Class Passenger,17477£69 6s,Cherbourg,Singer,9
"AUGUSTSSON, Mr Albert",23,3rd Class Passenger,347468£7 17s 1d,Southampton,General Labourer,
"AULD, Mr James",32,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"AVERY, Mr James Albert",20,Engineering Crew,,Southampton,Trimmer,15
"AYLING, Mr Edwin George",23,Victualling Crew,,Southampton,Assistant Vegetable Cook,
"AYY?B-D?HIR, Miss Bann?rah",15,3rd Class Passenger,2687£7 4s 7d,Cherbourg,,
"BACK, Mr Charles Frederick",37,Victualling Crew,,Belfast,Assistant Lounge Steward,
"BACKSTRÖM, Mr Karl Alfred",32,3rd Class Passenger,3101278£15 17s,Southampton,General Labourer,
"BACKSTRÖM, Mrs Maria Mathilda",33,3rd Class Passenger,3101278£15 17s,Southampton,,
"BADMAN, Miss Emily Louisa",18,3rd Class Passenger,31416£8 1s,Southampton,Servant,C* 
"BADT, Mr Mohamed",40,3rd Class Passenger,2623£7 4s 6d,Cherbourg,Farmer,
"BAGGOTT, Mr Allen Marden",28,Victualling Crew,,Southampton,Saloon Steward,9
"BAGLEY, Mr Edward Henry",33,Victualling Crew,,Southampton,Saloon Steward,
"BAILEY, Mr Henry Joseph",46,Deck Crew,,Southampton,Master-at-arms,16
"BAILEY, Mr Percy",18,2nd Class Passenger,29108£11 10s,Southampton,Butcher's Assistant,
"BAILEY, Mr George Frank",46,Engineering Crew,,Southampton,Fireman,
"BAILEY, Mr George",44,Victualling Crew,,Belfast,Saloon Steward,[161]
"BAILEY, Mr William",30,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"BAIN, Mr David",52,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BAINBRIGGE, Mr Charles Robert",22,2nd Class Passenger,31030£10 10s,Southampton,Horse Trainer,
"BAINES, Mr Richard",58,Engineering Crew,,Southampton,Greaser,
"BAKER, Mr John",32,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BALIKI?, Mr ?erim",26,3rd Class Passenger,349248£7 17s 11d,Southampton,General Labourer,
"BALL, Mr Percy",18,Victualling Crew,,Southampton,Plate Steward,13* 
"BALLS, Mrs Ada Elizabeth",36,2nd Class Passenger,28551£13,Southampton,,10* 
"BANEWER, Mr Solomon",42,2nd Class Passenger,211535£13,Southampton,Merchant,
"BANFI, Ugo",24,Restaurant Staff,,Southampton,Waiter,
"BANFIELD, Mr Frederick James",28,2nd Class Passenger,34068£10 10s,Southampton,Miner,
"BANNON, Mr John Joseph",34,Engineering Crew,,Southampton,Greaser,
"BARBARA, Mrs Catherine David",45,3rd Class Passenger,2691£14 9s 1d,Cherbourg,Housekeeper,
"BARBARA, Miss Saiide",18,3rd Class Passenger,2691£14 9s 1d,Cherbourg,Housekeeper,
"BARBER, Miss Ellen Mary",26,1st Class PassengerServant,19877£78 17s,Southampton,Personal Maid,6
"BARKER, Mr Albert Vale",19,Victualling Crew,,Southampton,Baker,
"BARKER, Mr Ernest Thomas",40,Victualling Crew,,Southampton,Saloon Steward (1st class),[159]
"BARKER, Mr Reginald Lomond",42,Victualling Crew,,Belfast,"Second Purser, 1st Class",
"BARKER, Mr Stokes",26,Engineering Crew(Delivery trip only),,Belfast,Leading Fireman,
"BARKER, Mr George",56,Engineering Crew(Delivery trip only),,Belfast,Storekeeper,
"BARKER, Mr George",46,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"BARKLEY, Mr Robert",39,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BARKWORTH, Mr Algernon Henry",47,1st Class Passenger,27042£30,Southampton,Justice of the Peace,B 
"BARLOW, Mr Charles Henry",30,Engineering Crew,,Southampton,Fireman,
"BARLOW, Mr George",39,Victualling Crew,,Southampton,Bed Room Steward,
"BARNES, Mr Charles",29,Engineering Crew,,Southampton,Fireman,
"BARNES, Mr John",39,Engineering Crew,,Southampton,Fireman,
"BARNES, Mr Frederick Charles",40,Victualling Crew,,Southampton,Assistant baker,[26]
"BARNES, Mr William John",36,Engineering Crew(Delivery trip only),,Belfast,Leading Fireman,
"BARRATT, Mr Arthur",16,Victualling Crew,,Southampton,Bell Boy,
"BARRETT, Mr Frederick William",29,Engineering Crew,,Southampton,Leading Fireman,13
"BARRETT, Mr Frederick William",33,Engineering Crew,,Southampton,Fireman,
"BARRINGER, Mr Arthur William",34,Victualling Crew,,Belfast,Saloon Steward (1st class),
"BARROW, Mr Charles Henry John",35,Victualling Crew,,Southampton,Assistant butcher,
"BARROWS, Mr Edward William Peter",32,Victualling Crew,,Southampton,Saloon Steward,
"BARRY, Miss Julia",30,3rd Class Passenger,330844£7 17s 7d,Queenstown,Housekeeper,
"BARRY, Mr James",31,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"BARTLEY, Mr Robert",32,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"BARTLEY, Mr Thomas",35,Victualling Crew(Delivery trip only),,Belfast,Room Attendent,
"BARTON, Mr David John",22,3rd Class Passenger,324669£8 1s,Southampton,General Labourer,
"BARTON, Mr Sidney John",26,Victualling Crew,,Southampton,3rd Class Steward,
"BASILICO, Sig. Giovanni",27,Restaurant Staff,,Southampton,Waiter,
"BASSANI, Mrs Albina",31,1st Class PassengerServant,11813£76 5s 10d,Cherbourg,Personal Maid,8
"BATEMAN, Revd Robert James",52,2nd Class Passenger,1166£12 10s 6d,Southampton,Priest / Minister,[174]
"BATOSHEV, Mr Hristo Lalev",23,3rd Class Passenger,349217£7 17s 11d,Southampton,General Labourer,
"BAUMANN, Mr John David",48,1st Class Passenger,17318£25 18s 6d,Cherbourg,Businessman,
"BAXTER, Mrs Hélène",50,1st Class Passenger,17558£247 10s 5d,Cherbourg,,6* 
"BAXTER, Mr Quigg Edmond",24,1st Class Passenger,17558£247 10s 5d,Cherbourg,,
"BAXTER, Mr Harry Ross",53,Victualling Crew,,Southampton,3rd Class Steward,
"BAXTER, Mr Thomas Ferguson",55,Victualling Crew,,Southampton,Linen Steward (1st class),[235]
"BAZZ?, Mr Rash?d Al-H?j 'Adb al-Husayn",30,3rd Class Passenger,2629£7 4s 7d,Cherbourg,,
"BAZZI, Sig. Narciso",33,Restaurant Staff,,Southampton,Waiter,
"BEANE, Mr Edward",32,2nd Class Passenger,2908£26,Southampton,,9* 
"BEANE, Mrs Ethel Louisa",22,2nd Class Passenger,2908£26,Southampton,,9* 
"BEATTIE, Mr Thomson",36,1st Class Passenger,13050£75 4s 10d,Southampton,Landowner,A [331]
"BEATTIE, Mr Joseph John",40,Engineering Crew,,Belfast,Greaser,
"BEATTIE, Mr Francis",39,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"BEAUCHAMP, Mr Henry James",43,2nd Class Passenger,244358£26,Southampton,Club Head Steward,
"BEAUCHAMP, Mr George William",24,Engineering Crew,,Southampton,Fireman,13
"BEAVAN, Mr William Thomas",20,3rd Class Passenger,323951£8 1s,Southampton,General Labourer,
"BECKER, Mrs Nellie E.",35,2nd Class Passenger,230136£39,Southampton,,11
"BECKER, Miss Marion Louise",4,2nd Class Passenger,230136£39,Southampton,,11
"BECKER, Master Richard F.",1,2nd Class Passenger,230136£39,Southampton,,11
"BECKER, Miss Ruth Elizabeth",12,2nd Class Passenger,230136£39,Southampton,,13
"BECKWITH, Mr Richard Leonard",37,1st Class Passenger,11751£52 11s 1d,Southampton,Realtor,5
"BECKWITH, Mrs Sarah Maybell",46,1st Class Passenger,11751£52 11s 1d,Southampton,,5
"BEDFORD, Mr William Barnett",31,Victualling Crew,,Southampton,Assistant Roast Cook,
"BEEDEM, Mr George Arthur",35,Victualling Crew,,Southampton,2nd Class Bedroom Steward,
"BEERE, Mr William",19,Victualling Crew,,Southampton,Kitchen Porter,
"BEESLEY, Mr Lawrence",34,2nd Class Passenger,248698£13,Southampton,Teacher,13
"BEHR, Mr Karl Howell",26,1st Class Passenger,111369£30,Cherbourg,,5
"BELL, Mr Joseph",51,Engineering Crew,,Belfast,Chief Engineer,
"BENDELL, Mr Frank",23,Engineering Crew,,Southampton,Fireman,
"BENGTSSON, Mr Jan Viktor",26,3rd Class Passenger,347068£7 15s 6d,Southampton,General Labourer,
"BENHAM, Mr Fred John",29,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"BENNETT, Mr George Alfred",30,Engineering Crew,,Southampton,Fireman,
"BENNETT, Mrs Mabel Kate",33,Victualling Crew,,Southampton,Stewardess,5* 
"BENSON, Mr James",50,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"BENSON, Mr John",26,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"BENSON, Mr William",25,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"BENTHAM, Miss Lillian Winifred",19,2nd Class Passenger,28404£13,Southampton,,12
"BENVILLE, Mr Edward",47,Engineering Crew,,Southampton,Fireman,
"BERGLUND, Mr Karl Ivar Sven",22,3rd Class Passenger,4348£9 7s,Southampton,General Labourer,
"BERNARDI, Sig. Battista",22,Restaurant Staff,,Southampton,Assistant Waiter,[215]
"BERRIMAN, Mr William John",23,2nd Class Passenger,28425£13,Southampton,,
"BESSANT, Mr William Edward Lowe",40,Engineering Crew,,Southampton,Fireman,
"BESSANT, Mr Edward",31,Victualling Crew,,Southampton,1st class baggage steward,
"BESSETTE, Miss Nellie Mayo",39,1st Class PassengerServant,17760£63 7s 2d,Cherbourg,Personal Maid,8
"BEST, Mr Edwin Alfred",40,Victualling Crew,,Belfast,Saloon Steward (1st class),
"BEUX, Mr David",25,Restaurant Staff,,Southampton,Assistant Waiter,
"BEVIS, Mr Joseph Henry",22,Engineering Crew,,Southampton,Trimmer,
"BIDDLECOMBE, Mr Reginald Charles",31,Engineering Crew,,Southampton,Fireman,
"BIDOIS, Miss Rosalie",46,1st Class PassengerServant,17757£247 10s 6d,Cherbourg,Personal Maid,4
"BIÉTRIX, Mr George Baptiste",28,Restaurant Staff,,Southampton,Cook,
"BIGGS, Mr Edward Charles",20,Engineering Crew,,Southampton,Fireman,
"BILLOWS, Mr James",20,Engineering Crew,,Southampton,Trimmer,
"BING, Mr Lee",32,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
"BINSTEAD, Mr Walter William",20,Engineering Crew,,Southampton,Trimmer,3* 
"BIRD, Miss Ellen",31,1st Class PassengerServant,17483£221 15s 7d,Southampton,Personal Maid,8* 
"BIRKELAND, Mr Hans Martin Monsen",21,3rd Class Passenger,312992£7 15s 6d,Southampton,Seaman,
"BIRNBAUM, Mr Jakob",24,1st Class Passenger,13905£26,Cherbourg,Diamond Dealer,[148]
"BISHOP, Mr Dickinson H.",25,1st Class Passenger,11967£91 1s 7d,Cherbourg,,7
"BISHOP, Mrs Helen Margaret",19,1st Class Passenger,11967£91 1s 7d,Cherbourg,,7
"BISHOP, Mr Walter Alexander",34,Victualling Crew,,Belfast,1st Class Bedroom Steward,
"BITTLE, Mr Robert",46,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BJÖRKLUND, Mr Ernst Heribert",18,3rd Class Passenger,347090£7 15s,Southampton,General Labourer,
"BJÖRNSTRÖM-STEFFANSSON, Mr Mauritz Håkan",28,1st Class Passenger,110564£26 11s,Southampton,Businessman,D 
"BLACK, Mr James",38,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BLACK, Mr Alexander",28,Engineering Crew,,Southampton,Fireman,
"BLACK, Mr D.",41,Engineering CrewSubstitute Crew,,Southampton,Fireman,
"BLACKMAN, Mr Albert Edward",23,Engineering Crew,,Southampton,Fireman,
"BLACKWELL, Mr Stephen Weart",45,1st Class Passenger,113784£35 10s,Southampton,Businessman,
"BLADES, Mr Frederick Charles",17,Victualling Crew,,Southampton,Lift Steward,
"BLAIR, Mr David",37,Deck CrewTransferred,,Belfast,Second Officer,
"BLAKE, Mr C.",36,Engineering CrewFailed to Join Ship,,Southampton,Trimmer,
"BLAKE, Mr Percival Albert",22,Engineering Crew,,Southampton,Trimmer,
"BLAKE, Mr John Douglas Stanley George",26,Engineering Crew,,Belfast,Mess Steward,
"BLAKE, Mr Thomas Henry",36,Engineering Crew,,Southampton,Fireman,
"BLANEY, Mr James",32,Engineering Crew,,Southampton,Fireman,
"BLANK, Mr Henry",39,1st Class Passenger,112277£31,Cherbourg,Jeweller,7* 
"BLANN, Mr Eustace Horatius",21,Engineering Crew,,Southampton,Fireman,
"BLISS, Mrs Emma",45,Victualling Crew,,Southampton,Stewardess,15
"BLOOMER, Mr James",51,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"BLUMET, Mr Jean Baptiste",26,Restaurant Staff,,Southampton,Pantryman,
"BOAL, Mr John",40,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BOCHATAY, Mr Alexis Joseph",30,Victualling Crew,,Southampton,Chef,
"BOCHET, Mr Pietro Giuseppe",43,Restaurant Staff,,Southampton,Waiter,
"BOGIE, Mr Norman Leslie",59,Victualling Crew,,Southampton,2nd Class Bedroom Steward,[274]
"BOLHUIS, Mr Hendrik",27,Restaurant Staff,,Southampton,Larder Cook,
"BOND, Mr William John",45,Victualling Crew,,Belfast,Bed Room Steward,
"BONNELL, Miss Caroline",30,1st Class Passenger,36928£164 17s 4d,Southampton,,8
"BONNELL, Miss Elizabeth",61,1st Class Passenger,113783£26 11s,Southampton,,8
"BOOTHBY, Mr Walter Thomas",37,Victualling Crew,,Southampton,2nd Class Bedroom Steward,[107]
"BOREBANK, Mr John James",41,1st Class Passenger,110489£26 11s,Southampton,Property Developer / Real Estate,
"BOSTANDJIEV, Mr Gencho",26,3rd Class Passenger,349224£7 17s 11d,Southampton,General Labourer,
"BOSTON, Mr William John",32,Victualling Crew,,Belfast,Assistant Deck Steward (1st Class),
"BOTSFORD, Mr William Hull",25,2nd Class Passenger,237670£13,Southampton,,
"BOTT, Mr William Thomas",46,Engineering Crew,,Southampton,Greaser,
"BOUGHTON, Mr Bernard John",24,Victualling Crew,,Southampton,First class saloon steward,
"BOULOS, Mr Hanna",18,3rd Class Passenger,2664£7 4s 6d,Cherbourg,General Labourer,
"BOURKE, Mr John",42,3rd Class Passenger,364849£15 10s,Queenstown,Farmer,
"BOURKE, Mrs Catherine",32,3rd Class Passenger,364849£15 10s,Queenstown,Housewife,
"BOURKE, Miss Mary",40,3rd Class Passenger,364848£7 15s,Queenstown,,
"BOWEN, Miss Grace Scott",45,1st Class PassengerServant,17608£262 7s 6d,Cherbourg,Governess,4
"BOWEN, Mr David John 'Dai'",20,3rd Class Passenger,54636£16 2s,Southampton,Pugilist,
"BOWERMAN, Miss Elsie Edith",22,1st Class Passenger,113505£55,Southampton,,6
"BOWKER, Miss Ruth Harwood",31,Restaurant Staff,,Southampton,Cashier,6* 
"BOWMAN, Mr F. T.",38,Victualling CrewFailed to Join Ship,,Southampton,Assistant Cook,
"BOXHALL, Mr Joseph Groves",28,Deck CrewTitanic Officers,,Belfast,4th. Officer,2
"BOYD, Mr Adam",38,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BOYD, Mr John",37,Victualling Crew,,Southampton,Saloon Steward (1st class),
"BOYES, Mr John Henry",36,Victualling Crew,,Belfast,Saloon Steward (1st class),
"BRACKEN, Mr James Hollen",30,2nd Class Passenger,220367£13,Southampton,Stockman,
"BRADLEY, Mr Thomas Henry",28,Deck Crew,,Southampton,Able Seaman,
"BRADLEY, Mr Patrick Joseph",38,Engineering Crew,,Southampton,Fireman,
"BRADLEY, Miss Bridget",22,3rd Class Passenger,334914£7 14s 6d,Queenstown,,
"BRADSHAW, Mr John Albert Perkin",42,Victualling Crew,,Southampton,Plate Steward (1st Class),
"BRADY, Mr John Bertram",41,1st Class Passenger,113054£30 10s,Southampton,Businessman,
"BRAF, Miss Elin Ester Maria",20,3rd Class Passenger,347471£7 17s 1d,Southampton,Servant,
"BRAIDEN, Mr William John",37,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"BRAILEY, Mr William Theodore Ronald",24,2nd Class PassengerMusician,250654,Southampton,Musician,
"BRAND, Mr",,1st Class PassengerCross Channel Passenger,8£1 10s,Southampton,,
"BRANDEIS, Mr Emil Franklin",48,1st Class Passenger,17591£50 9s 11d,Cherbourg,,[208]
"BRAUND, Mr Lewis Richard",29,3rd Class Passenger,3460£7 11d,Southampton,Farm Labourer,
"BRAUND, Mr Owen Harris",22,3rd Class Passenger,21171£7 5s,Southampton,Ironmonger,
"BRENNAN, Mr Thomas",39,Engineering Crew(Delivery trip only),,Belfast,Leading Fireman,
"BRERETON, Mr George Andrew",37,1st Class Passenger,111427£26 11s,Southampton,,9* 
"BREWE, Dr Arthur Jackson",45,1st Class Passenger,112379£39 12s,Cherbourg,,
"BREWER, Mr B.",24,Engineering CrewDeserted,,Southampton,Trimmer,
"BREWER, Mr Harry",30,Engineering Crew,,Southampton,Trimmer,
"BREWSTER, Mr George Henry",52,Victualling Crew,,Belfast,Bedroom Steward (1st Class),
"BRIANT, Mr Arthur",30,Engineering Crew,,Southampton,Greaser,
"BRIANT, Mr Albert",34,Engineering Crew,,Southampton,Greaser,
"BRICE, Mr Walter Thomas",42,Deck Crew,,Southampton,Able Seaman,11
"BRICOUX, Mr Roger Marie",20,2nd Class PassengerMusician,250654,Southampton,Musician,
"BRIDE, Mr Harold Sydney",22,Victualling Crew,,Belfast,Assistant Telegraphist,B 
"BRIGHT, Mr Arthur John",42,Deck Crew,,Belfast,Quartermaster,D 
"BRISTOW, Mr Robert Charles",38,Victualling Crew,,Southampton,3rd Class Steward,[290]
"BRISTOW, Mr Harry",38,Victualling Crew,,Southampton,Saloon Steward,
"BRITO, Mr José Joaquim de",40,2nd Class Passenger,244360£13,Southampton,,
